Date,MSFT,microsoft stock
10/16/2014,19,10
10/17/2014,18,10
10/18/2014,10,5
10/19/2014,4,3
10/20/2014,21,11
10/21/2014,26,13
10/22/2014,23,11
10/23/2014,46,17
10/24/2014,57,15
10/25/2014,15,9
10/26/2014,14,0
10/27/2014,27,13
10/28/2014,27,10
10/29/2014,24,8
10/30/2014,29,18
10/31/2014,25,17
11/1/2014,11,11
11/2/2014,5,5
11/3/2014,23,15
11/4/2014,25,13
11/5/2014,27,13
11/6/2014,24,13
11/7/2014,31,15
11/8/2014,13,10
11/9/2014,7,6
11/10/2014,24,12
11/11/2014,24,5
11/12/2014,22,15
11/13/2014,28,14
11/14/2014,33,14
11/15/2014,16,11
11/16/2014,9,6
11/17/2014,25,9
11/18/2014,32,15
11/19/2014,27,9
11/20/2014,20,13
11/21/2014,24,10
11/22/2014,13,6
11/23/2014,5,8
11/24/2014,22,10
11/25/2014,21,11
11/26/2014,26,10
11/27/2014,12,9
11/28/2014,10,10
11/29/2014,8,5
11/30/2014,9,7
12/1/2014,20,15
12/2/2014,25,8
12/3/2014,16,12
12/4/2014,27,11
12/5/2014,20,10
12/6/2014,11,6
12/7/2014,5,7
12/8/2014,22,14
12/9/2014,18,13
12/10/2014,21,8
12/11/2014,20,10
12/12/2014,20,11
12/13/2014,8,5
12/14/2014,7,6
12/15/2014,11,12
12/16/2014,24,12
12/17/2014,21,12
12/18/2014,24,12
12/19/2014,22,11
12/20/2014,9,5
12/21/2014,4,6
12/22/2014,15,11
12/23/2014,22,8
12/24/2014,16,10
12/25/2014,9,3
12/26/2014,21,8
12/27/2014,12,6
12/28/2014,5,2
12/29/2014,13,9
12/30/2014,16,8
12/31/2014,16,3
1/1/2015,4,6
1/2/2015,14,10
1/3/2015,6,10
1/4/2015,5,6
1/5/2015,17,7
1/6/2015,22,8
1/7/2015,21,9
1/8/2015,24,11
1/9/2015,15,10
1/10/2015,11,9
1/11/2015,6,5
1/12/2015,14,8
1/13/2015,18,9
1/14/2015,19,9
1/15/2015,18,9
1/16/2015,19,9
1/17/2015,11,7
1/18/2015,4,5
1/19/2015,10,6
1/20/2015,24,7
1/21/2015,35,18
1/22/2015,34,18
1/23/2015,29,17
1/24/2015,11,10
1/25/2015,11,6
1/26/2015,50,14
1/27/2015,100,31
1/28/2015,62,26
1/29/2015,40,20
1/30/2015,42,13
1/31/2015,24,12
2/1/2015,5,6
2/2/2015,27,14
2/3/2015,32,17
2/4/2015,32,14
2/5/2015,33,12
2/6/2015,20,16
2/7/2015,15,6
2/8/2015,4,6
2/9/2015,29,14
2/10/2015,28,17
2/11/2015,22,14
2/12/2015,32,16
2/13/2015,27,17
2/14/2015,12,6
2/15/2015,11,3
2/16/2015,17,10
2/17/2015,28,19
2/18/2015,23,13
2/19/2015,25,13
2/20/2015,22,13
2/21/2015,11,6
2/22/2015,5,7
2/23/2015,25,12
2/24/2015,23,14
2/25/2015,24,10
2/26/2015,20,16
2/27/2015,21,14
2/28/2015,6,4
3/1/2015,10,3
3/2/2015,22,15
3/3/2015,24,15
3/4/2015,20,18
3/5/2015,24,15
3/6/2015,18,11
3/7/2015,11,8
3/8/2015,2,10
3/9/2015,19,12
3/10/2015,26,12
3/11/2015,21,13
3/12/2015,28,13
