date,amazon stock,apple stock,facebook stock,google stock,microsoft stock,netflix stock,AMZN,AAPL,META,FB,GOOGL,MSFT,NFLX
4/9/2010 0:00,58,22.81578947,62.74418605,56,0,65.33333333,42.54545455,29.76315789,86.50617284,73.62962963,73.6,24.2,0
4/10/2010 0:00,38,11.63157895,34.6744186,37,0,0,11.45454545,8.394736842,66.54320988,94.66666667,87.46666667,13.2,0
4/11/2010 0:00,0,10.28947368,52.8372093,52,24.70588235,67.66666667,0,12.97368421,71.2962963,90.72222222,85.33333333,7.7,0
4/12/2010 0:00,59,20.13157895,65.22093023,71,61.76470588,0,23.72727273,22.89473684,85.55555556,69.68518519,80,36.3,0
4/13/2010 0:00,37,15.21052632,55.31395349,71,60.73529412,66.5,10.63636364,27.47368421,83.65432099,72.31481481,74.66666667,36.3,0
4/14/2010 0:00,0,17,48.70930233,71,91.61764706,60.66666667,27.81818182,30.52631579,83.65432099,76.25925926,87.46666667,48.4,0
4/15/2010 0:00,31,20.13157895,46.23255814,71,42.20588235,0,27,29,91.25925926,74.94444444,82.13333333,42.9,0
4/16/2010 0:00,78,16.55263158,35.5,85,24.70588235,0,23.72727273,32.05263158,89.35802469,80.2037037,80,42.9,0
4/17/2010 0:00,0,11.18421053,41.27906977,40,67.94117647,0,31.09090909,10.68421053,65.59259259,101.2407407,78.93333333,31.9,0
4/18/2010 0:00,0,6.263157895,54.48837209,25,16.47058824,0,0,7.631578947,75.09876543,107.8148148,80,13.2,0
4/19/2010 0:00,66,16.10526316,49.53488372,68,57.64705882,116.6666667,11.45454545,31.28947368,83.65432099,74.94444444,78.93333333,36.3,0
4/20/2010 0:00,39,24.15789474,50.36046512,88,22.64705882,0,31.90909091,58.76315789,90.30864198,69.68518519,75.73333333,34.1,0
4/21/2010 0:00,45,44.73684211,61.91860465,57,58.67647059,36.16666667,26.18181818,76.31578947,82.7037037,72.31481481,74.66666667,67.1,29.02325581
4/22/2010 0:00,100,27.28947368,50.36046512,80,98.82352941,59.5,81.81818182,50.36842105,87.45679012,72.31481481,91.73333333,80.3,0
4/23/2010 0:00,80,25.94736842,51.18604651,75,57.64705882,68.83333333,64.63636364,46.55263158,85.55555556,82.83333333,75.73333333,110,0
4/24/2010 0:00,0,18.78947368,66.87209302,41,38.08823529,0,10.63636364,15.26315789,73.19753086,113.0740741,88.53333333,26.4,0
4/25/2010 0:00,75,8.947368421,39.62790698,51,31.91176471,0,22.90909091,9.921052632,70.34567901,102.5555556,88.53333333,19.8,0
4/26/2010 0:00,70,19.23684211,47.05813953,65,24.70588235,49,50.72727273,31.28947368,79.85185185,77.57407407,74.66666667,46.2,0
4/27/2010 0:00,65,20.57894737,45.40697674,70,26.76470588,59.5,37.63636364,32.81578947,82.7037037,68.37037037,70.4,36.3,0
4/28/2010 0:00,39,17.89473684,60.26744186,66,29.85294118,43.16666667,22.90909091,31.28947368,79.85185185,69.68518519,80,16.5,0
4/29/2010 0:00,0,22.36842105,43.75581395,85,36.02941176,44.33333333,22.09090909,32.81578947,84.60493827,74.94444444,80,38.5,20.65116279
4/30/2010 0:00,19,16.55263158,20.63953488,77,13.38235294,0,31.90909091,32.05263158,76.04938272,80.2037037,81.06666667,22,0
5/1/2010 0:00,0,12.07894737,53.6627907,42,27.79411765,0,9,11.44736842,65.59259259,107.8148148,94.93333333,9.9,0
5/2/2010 0:00,33,11.63157895,37.97674419,31,29.85294118,0,0,11.44736842,68.44444444,101.2407407,87.46666667,16.5,37.39534884
5/3/2010 0:00,38,18.34210526,30.54651163,62,29.85294118,30.33333333,17.18181818,32.05263158,81.75308642,77.57407407,75.73333333,17.6,0
5/4/2010 0:00,31,21.92105263,37.97674419,86,57.64705882,59.5,36,31.28947368,82.7037037,72.31481481,80,28.6,0
5/5/2010 0:00,64,16.55263158,66.04651163,71,90.58823529,0,26.18181818,35.10526316,83.65432099,78.88888889,78.93333333,24.2,0
5/6/2010 0:00,42,27.73684211,78.43023256,100,0,0,29.45454545,48.84210526,88.40740741,77.57407407,82.13333333,58.3,0
5/7/2010 0:00,38,30.86842105,51.18604651,93,24.70588235,107.3333333,35.18181818,49.60526316,85.55555556,78.88888889,96,81.4,0
